Subject,Type,Total Household Gifts Currency,Total Household Gifts,Due Date,Activity ID,Contact ID
Email: Banquet Table Host materials,1 Email,HKD,668238,6/1/2016,00T9000002pUOMp,0039000000DXkuO
Email: Re: Cheque,1 Email,HKD,668238,3/28/2017,00T9000003WqsAd,0039000000DXkuO
Email: Medical Fund and Matilda Hospital,1 Email,HKD,668238,10/12/2016,00T9000003Bpkxo,0039000000DXkuO
Email: RE: Banquet Table Host materials,1 Email,HKD,668238,6/1/2016,00T9000002pUdJp,0039000000DXkuO
? Email: Re: Medical Fund and Matilda Hospital,1 Email,HKD,668238,10/14/2016,00T9000003Bqiiu,0039000000DXkuO
? Email: Re: ICM event,1 Email,HKD,668238,10/14/2016,00T9000003Bqj1S,0039000000DXkuO
? Email: Re: Medical Fund and Matilda Hospital,1 Email,HKD,668238,10/14/2016,00T9000003Bqipb,0039000000DXkuO
Plan for post wedding fundraising cocktail,6 Event,HKD,668238,10/31/2016,00T9000002pSzU8,0039000000DXkuO
? Email: ICM banquet - seating arrangement,1 Email,HKD,668238,10/18/2016,00T9000003Dd4in,0039000000DXkuO
? Email: Re: ICM banquet - seating arrangement,1 Email,HKD,668238,10/18/2016,00T9000003Dd5QG,0039000000DXkuO
? Email: Re: ICM banquet - seating arrangement,1 Email,HKD,668238,10/19/2016,00T9000003DdSyP,0039000000DXkuO
Email: Re: Remittance instructons for ICM,1 Email,HKD,668238,6/20/2016,00T9000002rICIR,0039000000DXkuO
? Email: Thank You!,1 Email,HKD,633507.05,6/2/2016,00T9000002pUwu2,0039000000DXkw5
Email: re: ICM Banquet - Guests Registration,1 Email,HKD,633507.05,11/1/2016,00T9000003EniNo,0039000000DXkw5
Income Received - Thank you,1 Email,HKD,633507.05,6/30/2016,00T9000002umQs3,0039000000DXkw5
Meeting to discuss donation,4 Meeting,HKD,633507.05,12/16/2016,00T9000003GRaPU,0039000000DXkw5
? Email: Thank you!,1 Email,HKD,633507.05,11/14/2016,00T9000003GRF1z,0039000000DXkw5
? Email: Box of Hope Packing - Nov 8,1 Email,HKD,633507.05,11/2/2016,00T9000003EoLKW,0039000000DXkw5
? Email: Re: Thank you!,1 Email,HKD,633507.05,1/12/2017,00T9000003N9pWN,0039000000DXkw5
? Email: Re: Thank you!,1 Email,HKD,633507.05,1/9/2017,00T9000003N7dmK,0039000000DXkw5
"? Email: 2016 ICM Banquet - October 24, 2016",1 Email,HKD,633507.05,8/22/2016,00T90000032JhUc,0039000000DXkw5
? Email: Coffee next week?,1 Email,HKD,633507.05,12/7/2016,00T9000003J9zY8,0039000000DXkw5
? Email: Re: BTIG Charity Day,1 Email,HKD,633507.05,6/13/2016,00T9000002rFpoV,0039000000DXkw5
Meeting,4 Meeting,HKD,633507.05,6/10/2016,00T9000002lYR7Z,0039000000DXkw5
? Email: Re: Summer discount will end tomorrow!,1 Email,HKD,633507.05,9/8/2016,00T90000036XjMH,0039000000DXkw5
? Email: Summer discount will end tomorrow!,1 Email,HKD,633507.05,9/8/2016,00T90000036Xico,0039000000DXkw5
? Email: ICM Hong Kong Banquet - celebrating 25th Anniversary,1 Email,HKD,633507.05,3/20/2017,00T9000003VSyT3,0039000000DXkw5
? Email: Pre-Banquet Information and Guest Registration,1 Email,HKD,633507.05,9/23/2016,00T900000311s5s,0039000000DXkw5
? Email: ICM Banquet (Oct 24) table host gathering,1 Email,HKD,633507.05,6/1/2016,00T9000002pUXPx,0039000000DXkw5
? Email: Re: ICM Banquet - Guests Registration,1 Email,HKD,633507.05,10/13/2016,00T9000003BqIbs,0039000000DXkw5
? Email: Meeting with ICM,1 Email,HKD,633507.05,5/5/2017,00T9000003awYVA,0039000000DXkw5
Email: re: ICM Banquet - Guests Registration,1 Email,HKD,633507.05,11/1/2016,00T9000003EniNo,0039000000DXkw4
Catch up,4 Meeting,HKD,633507.05,11/8/2016,00T9000003GR5xB,0039000000DXkw4
Meeting to discuss donation,4 Meeting,HKD,633507.05,12/16/2016,00T9000003GRaPU,0039000000DXkw4
Matilda Visit,4 Meeting,HKD,633507.05,1/17/2017,00T9000003O585b,0039000000DXkw4
Catch Up - Update,4 Meeting,HKD,633507.05,5/31/2017,00T9000003O585a,0039000000DXkw4
Email: KAP Trip: April 1-4,1 Email,HKD,0,2/20/2017,00T9000003SNoiS,00390000027C28w
? Email: Re: KAP Trip: April 1-4,1 Email,HKD,0,2/22/2017,00T9000003SPOjc,00390000027C28w
? Email: Re: Kap trip april 1-4,1 Email,HKD,0,2/26/2017,00T9000003SzYvP,00390000027C28w
? Email: Re: sunday,1 Email,HKD,0,3/9/2017,00T9000003UcH9t,00390000027C28w
? Email: Pls read: April 1-4 Skip A Trip meeting,1 Email,HKD,0,3/13/2017,00T9000003Ue8JA,00390000027C28w
? Email: Re: Pls read: April 1-4 Skip A Trip meeting,1 Email,HKD,0,3/18/2017,00T9000003VSTcR,00390000027C28w
Email: Fwd: 170402 - CMF SAT - Registration,1 Email,HKD,0,3/7/2017,00T9000003TptFG,00390000027C28w
Email: Fwd: 170402 - CMF SKIP A TRIP - Expense Report,1 Email,HKD,0,3/9/2017,00T9000003UcMqG,00390000027C28w
Email: Fwd: 170402 - CMF SAT - ETICKET,1 Email,HKD,0,3/27/2017,00T9000003WEIEW,00390000027C28w
? Email: SALT ~ ICM ~ Night of Prayer,1 Email,HKD,226615,1/11/2017,00T9000003N93Lv,0039000000DXkxC
? Email: SALT ~ ICM ~ Night of Prayer,1 Email,HKD,226615,1/11/2017,00T9000003N93Lv,0039000000DXkxF
? Email: Banquet thank you,1 Email,HKD,878512,10/25/2016,00T9000003Dg1Va,0039000000DXky8
? Email: Banquet- guest registration and dietrary requirements,1 Email,HKD,878512,10/11/2016,00T9000003BpAEP,0039000000DXky8
? Email: Transform cards,1 Email,HKD,878512,2/28/2017,00T9000003T0Yk2,0039000000DXky8
? Email: Banquet table host gathering,1 Email,HKD,878512,3/6/2017,00T9000003TodJO,0039000000DXky8
? Email: Pastors coming to stay,1 Email,HKD,878512,1/17/2017,00T9000003O4GMm,0039000000DXky8
? Email: Re: Pastors coming to stay,1 Email,HKD,878512,1/17/2017,00T9000003O4TuC,0039000000DXky8
? Email: SALT ~ ICM ~ Night of Prayer,1 Email,HKD,878512,1/11/2017,00T9000003N93Lv,0039000000DXky8
? Email: ICM Christmas Cocktail,1 Email,HKD,878512,12/2/2016,00T9000003J8EHq,0039000000DXky8
? Email: BOA meeting next Monday,1 Email,HKD,878512,2/9/2017,00T9000003QWDKz,0039000000DXky8
? Email: ICM Auction Item Delivery,1 Email,HKD,878512,10/26/2016,00T9000003DgsIG,0039000000DXky8
? Email: Re: ICM UK bank account,1 Email,HKD,392445.26,5/5/2017,00T9000003awTl0,0039000000DXkxb
? Email: Meet while you're in HK,1 Email,HKD,392445.26,10/26/2016,00T9000003DgoTX,0039000000DXkxb
"ICM UK, personal giving and Hoare Bank donation",4 Meeting,HKD,392445.26,2/22/2017,00T9000003SO8i8,0039000000DXkxb
? Email: ICM's Family Academy,1 Email,HKD,392445.26,3/6/2017,00T9000003TogXL,0039000000DXkxb
? Email: Re: ICM trip to UK in February,1 Email,HKD,392445.26,1/10/2017,00T9000003N86BL,0039000000DXkxb
? Email: Re: ICM trip to UK in February,1 Email,HKD,392445.26,1/11/2017,00T9000003N8mof,0039000000DXkxb
? Email: Re: ICM trip to UK in February,1 Email,HKD,392445.26,1/12/2017,00T9000003N9U48,0039000000DXkxb
? Email: ICM trip to UK in February,1 Email,HKD,392445.26,1/6/2017,00T9000003N6w7E,0039000000DXkxb
? Email: ICM UK call last week,1 Email,HKD,392445.26,12/16/2016,00T9000003KJFmS,0039000000DXkxb
? Email: Re: ICM UK bank account,1 Email,HKD,392445.26,4/20/2017,00T9000003ZBHj1,0039000000DXkxb
? Email: Re: ICM UK bank account,1 Email,HKD,392445.26,4/21/2017,00T9000003ZBkqZ,0039000000DXkxb
? Email: ICM UK bank account,1 Email,HKD,392445.26,4/20/2017,00T9000003ZBAJb,0039000000DXkxb
Email: Connecting,1 Email,HKD,392445.26,9/19/2016,00T90000038UfQ9,0039000000DXkxb
? Email: Jumpstart Kindergarten Payment and UK Launch gathering,1 Email,HKD,392445.26,7/12/2016,00T9000002wVhec,0039000000DXkxb
? Email: Re: Jumpstart Kindergarten Payment and UK Launch gathering,1 Email,HKD,392445.26,8/18/2016,00T90000032IPQ9,0039000000DXkxb
? Email: Re: Jumpstart Kindergarten Payment and UK Launch gathering,1 Email,HKD,392445.26,8/17/2016,00T90000032I9LN,0039000000DXkxb
Email: Re: grant,1 Email,HKD,392445.26,6/20/2016,00T9000002t7eQd,0039000000DXkxb
Email: Re: grant,1 Email,HKD,392445.26,6/20/2016,00T9000002t7cZz,0039000000DXkxb
Email: Re: grant,1 Email,HKD,392445.26,6/27/2016,00T9000002tADw7,0039000000DXkxb
Email: Fwd: Hoare's bank philanthropy,1 Email,HKD,392445.26,8/18/2016,00T90000032Ic5A,0039000000DXkxb
Email: ICM UK,1 Email,HKD,392445.26,6/23/2016,00T9000002t8q6j,0039000000DXkxb
Email: Next week,1 Email,HKD,392445.26,7/12/2016,00T9000002wVlRI,0039000000DXkxb
Email: ICM Launch,1 Email,HKD,392445.26,7/18/2016,00T9000002wXqYT,0039000000DXkxb
Email: ICM Launch,1 Email,HKD,392445.26,7/18/2016,00T9000002wXqTx,0039000000DXkxb
? Email: ICM trip to UK in February,1 Email,HKD,392445.26,1/6/2017,00T9000003N6w7E,0039000000DXkxa
Email: Connecting,1 Email,HKD,392445.26,9/19/2016,00T90000038UfQ9,0039000000DXkxa
? Email: Jumpstart Kindergarten Payment and UK Launch gathering,1 Email,HKD,392445.26,7/12/2016,00T9000002wVhec,0039000000DXkxa
Email: Re: Jumpstart Kindergarten Payment and UK Launch gathering,1 Email,HKD,392445.26,8/18/2016,00T90000032Ibuq,0039000000DXkxa
? Email: Re: Jumpstart Kindergarten Payment and UK Launch gathering,1 Email,HKD,392445.26,8/18/2016,00T90000032IPQ9,0039000000DXkxa
? Email: Re: Jumpstart Kindergarten Payment and UK Launch gathering,1 Email,HKD,392445.26,8/17/2016,00T90000032I9LN,0039000000DXkxa
? Email: Re: FW: ICM Jumpstart Kindergarten,1 Email,HKD,392445.26,6/2/2016,00T9000002pUtJQ,0039000000DXkxa
? Email: Re: ICM Auction Delivery Info,1 Email,HKD,451182.78,10/26/2016,00T9000003DgsJn,0039000000DXkyD
? Email: ICM Auction Delivery Info,1 Email,HKD,451182.78,10/26/2016,00T9000003DgsDL,0039000000DXkyD
? Email: Banquet Guests,1 Email,HKD,451182.78,10/13/2016,00T9000003Bq9Pj,0039000000DXkyD
? Email: Guest List and Banquet Details,1 Email,HKD,451182.78,10/18/2016,00T9000003Dcvit,0039000000DXkyD
? Email: Re: Guest List and Banquet Details,1 Email,HKD,451182.78,10/18/2016,00T9000003DcxxC,0039000000DXkyD
? Email: Banquet Guests,1 Email,HKD,451182.78,10/20/2016,00T9000003DegN2,0039000000DXkyF
"? Email: Re: Gathering at Polo Club, May 29",1 Email,HKD,451182.78,5/5/2017,00T9000003awjdg,0039000000DXkyF
? Email: Re: Launch today!,1 Email,HKD,451182.78,12/15/2016,00T9000003KI7w6,0039000000DXkyF
? Email: Re: Nov 23 dinner.xlsx - Summary of invites / responses / photos,1 Email,HKD,451182.78,11/15/2016,00T9000003GRbly,0039000000DXkyF
? Email: Re: Contact info of Joe Walsh | Ram Mallari in Art Kaohsiung 2016,1 Email,HKD,451182.78,12/8/2016,00T9000003JAWem,0039000000DXkyF
? Email: Re: Contact info of Joe Walsh | Ram Mallari in Art Kaohsiung 2016,1 Email,HKD,451182.78,12/8/2016,00T9000003JAWew,0039000000DXkyF
? Email: Banquet Guests,1 Email,HKD,451182.78,10/13/2016,00T9000003Bq9Pj,0039000000DXkyF
? Email: Guest List and Banquet Details,1 Email,HKD,451182.78,10/18/2016,00T9000003Dcvit,0039000000DXkyF
? Email: Re: Guest List and Banquet Details,1 Email,HKD,451182.78,10/18/2016,00T9000003DcxxC,0039000000DXkyF
? Email: Re: Free for a call,1 Email,HKD,451182.78,10/19/2016,00T9000003Ddas1,0039000000DXkyF
? Email: Re: Free for a call,1 Email,HKD,451182.78,10/19/2016,00T9000003DdYkG,0039000000DXkyF
? Email: Affordable heART Online Catalog Launch Today!,1 Email,HKD,451182.78,12/15/2016,00T9000003KI8vJ,0039000000DXkyF
? Email: AH: Pick up Art for Nov 29,1 Email,HKD,451182.78,11/29/2016,00T9000003HXckw,0039000000DXkyF
? Email: Re: LIST OF ALL ARTWORKS,1 Email,HKD,451182.78,1/18/2017,00T9000003O50eq,0039000000DXkyF
? Email: Re: Fwd: Additional artworks for the Affordable HeArt Exhibit,1 Email,HKD,451182.78,1/17/2017,00T9000003O4K0Y,0039000000DXkyF
? Email: Re: Fwd: Additional artworks for the Affordable HeArt Exhibit,1 Email,HKD,451182.78,1/17/2017,00T9000003O4KbV,0039000000DXkyF
? Email: Re: AH pieces being transported to HK today 12 Jan 2017,1 Email,HKD,451182.78,1/12/2017,00T9000003N9kTc,0039000000DXkyF
? Email: AH pieces being transported to HK today 12 Jan 2017,1 Email,HKD,451182.78,1/12/2017,00T9000003N9ap2,0039000000DXkyF
? Email: Re: AH pieces being transported to HK today 12 Jan 2017,1 Email,HKD,451182.78,1/12/2017,00T9000003N9kks,0039000000DXkyF
? Email: Re: Affordable Heart Unconfirmed...,1 Email,HKD,451182.78,1/9/2017,00T9000003N7liX,0039000000DXkyF
? Email: Re: Affordable Heart Unconfirmed...,1 Email,HKD,451182.78,1/9/2017,00T9000003N7lk4,0039000000DXkyF
"? Email: Re: Kat, Aljo it seems did not receive an invitation... Please send one to him. Thanks!",1 Email,HKD,451182.78,12/9/2016,00T9000003KG5u4,0039000000DXkyF
? Email: Re: AH: Artwork Ready for Transport as of Dec 8,1 Email,HKD,451182.78,12/9/2016,00T9000003JAuyy,0039000000DXkyF
? Email: Fwd: Confirming Your Participation to Affordable HeArt Exhibit,1 Email,HKD,451182.78,12/9/2016,00T9000003JAuwn,0039000000DXkyF
? Email: AH: Transport to HK as of Dec 12,1 Email,HKD,451182.78,12/14/2016,00T9000003KHirj,0039000000DXkyF
? Email: Re: AH Online Catalogue - Invitation to edit,1 Email,HKD,451182.78,12/15/2016,00T9000003KI1no,0039000000DXkyF
? Email: AH: Artwork Ready for Transport as of Dec 8,1 Email,HKD,451182.78,12/8/2016,00T9000003JASqJ,0039000000DXkyF
? Email: Re: Gifts / Prizes for artists - left at Galerie Francesca,1 Email,HKD,451182.78,12/5/2016,00T9000003J8tdc,0039000000DXkyF
Email: Re: CONCEPT NOTE - Affordable Art Fair in HK with Pintura Circle - [AFFORDABLE heART?],1 Email,HKD,451182.78,8/1/2016,00T90000030KCoN,0039000000DXkyF
? Email: Fwd: Testimony,1 Email,HKD,451182.78,1/3/2017,00T9000003Lnd1g,0039000000DXkyF
Email: Re: ICM payment - Not urgent - Just seeking clarification,1 Email,HKD,451182.78,10/6/2016,00T9000003AJ9zZ,0039000000DXkyF
Re-engagement with ICM,4 Meeting,HKD,9560,10/7/2016,00T9000003AI4zH,0039000000K95cv
? Email: Re: Nov 20th Service Project with IECC Kids Club,1 Email,HKD,0,11/8/2016,00T9000003EqHWR,0039000000DXkwl
? Email: Re: Kids Club Parent Letter about 20 Nov with ICM - Copy,1 Email,HKD,0,11/11/2016,00T9000003GQgzy,0039000000DXkwl
? Email: Nov 20th Service Project with IECC Kids Club,1 Email,HKD,0,11/3/2016,00T9000003Eorxn,0039000000DXkwl
Discuss Service Project with IECC Kids Club,4 Meeting,HKD,0,11/2/2016,00T9000003EoyLp,0039000000DXkwl
Service Project with IECC Kids Club,5 Presentation,HKD,0,11/20/2016,00T9000003EoyLo,0039000000DXkwl
? Email: Re: VBS material and Orange,1 Email,HKD,0,3/13/2017,00T9000003Ue9Hc,0039000000DXkwl
? Email: VBS material and Orange,1 Email,HKD,0,3/13/2017,00T9000003Ue7cj,0039000000DXkwl
"? Email: Content and resources for ""Food for the Hungry"" concept",1 Email,HKD,0,9/30/2016,00T9000003AHB6b,0039000000DXkwl
IECC collaboration,4 Meeting,HKD,0,9/29/2016,00T9000003AH5L9,0039000000DXkwl
? Email: SALT ~ ICM ~ Night of Prayer,1 Email,HKD,375941,1/11/2017,00T9000003N93Lv,0039000000DXkxR
TF15 B3 TY cards and photo magnets,0 Other,HKD,375941,6/3/2016,00T9000002nhgIA,0039000000DXkxR
Meeting with Roddy Sage and Wayne Margolin,4 Meeting,HKD,375941,7/18/2016,00T9000002wXyGm,0039000000DXkxR
Email: Invitation,1 Email,HKD,375941,9/13/2016,00T90000036Z9DR,0039000000DXkxS
? Email: Thank you!,1 Email,HKD,144720,10/26/2016,00T9000003DglEK,0039000000DXkxV
? Email: Re: Thank you!,1 Email,HKD,144720,10/28/2016,00T9000003EmwvM,0039000000DXkxV
? Email: Thank you from your ICM community,1 Email,HKD,39444,2/28/2017,00T9000003T0ikh,0039000001A00Da
? Email: Re: Thank you from your ICM community,1 Email,HKD,39444,3/7/2017,00T9000003TpSCu,0039000001A00Da
? Email: Re: Thank you from your ICM community,1 Email,HKD,39444,3/6/2017,00T9000003TodZq,0039000001A00Da
Email: A Special thank you for the Banquet,1 Email,HKD,39444,10/27/2016,00T9000003EmOIM,0039000001A00Da
? Email: Thank you!,1 Email,HKD,144720,10/26/2016,00T9000003DglEK,0039000000DXkxU
? Email: Re: ICM thank you,1 Email,HKD,144720,2/17/2017,00T9000003RQJgZ,0039000000DXkxU
? Email: Re: Thank you!,1 Email,HKD,144720,10/28/2016,00T9000003EmwvM,0039000000DXkxU
? Email: ICM thank you,1 Email,HKD,144720,2/13/2017,00T9000003RMvAu,0039000000DXkxU
? Email: Re: ICM Cocktails,1 Email,HKD,258121,1/12/2017,00T9000003N9d89,0039000000DXkyI
? Email: ICM Cocktails,1 Email,HKD,258121,12/6/2016,00T9000003J9OcG,0039000000DXkyI
? Email: ICM Cocktails,1 Email,HKD,258121,12/6/2016,00T9000003J9OXB,0039000000DXkyI
? Email: Re: ICM Cocktails,1 Email,HKD,258121,1/12/2017,00T9000003N9d89,0039000000DXkyJ
? Email: ICM Cocktails,1 Email,HKD,258121,12/6/2016,00T9000003J9OcG,0039000000DXkyJ
? Email: ICM Cocktails,1 Email,HKD,258121,12/6/2016,00T9000003J9OXB,0039000000DXkyJ
? Email: You Are Invited to a Springboard Luncheon,1 Email,HKD,391456,8/5/2016,00T900000312lJk,00390000019zFpt
? Email: Re: Updates,1 Email,HKD,391456,5/9/2017,00T9000003birxP,00390000019zFpt
? Email: Springboard Luncheon Update,1 Email,HKD,391456,9/7/2016,00T90000036XDEZ,00390000019zFpt
? Email: Re: Springboard Luncheon Update,1 Email,HKD,391456,9/12/2016,00T90000036Yagc,00390000019zFpt
Email: Thank you! Possible next steps?,1 Email,HKD,391456,8/28/2016,00T90000034B5jq,00390000019zFpt
Email: Re: ICM Tokyo Event,1 Email,HKD,391456,6/6/2016,00T9000002pW7Uv,00390000019zFpt
? Email: Re: Tokyo dinner on Monday,1 Email,HKD,391456,8/22/2016,00T90000032Jj6K,00390000019zFpt
? Email: Updates,1 Email,HKD,391456,5/5/2017,00T9000003awljn,00390000019zFpt
? Email: Re: Tokyo number,1 Email,HKD,391456,2/16/2017,00T9000003RP94K,00390000019zFpt
? Email: August 23 in Tokyo,1 Email,HKD,391456,6/23/2016,00T9000002t96SA,00390000019zFpt
Email: August 23 in Tokyo,1 Email,HKD,391456,6/23/2016,00T9000002t96SP,00390000019zFpt
? Email: Re: Tokyo number,1 Email,HKD,391456,2/16/2017,00T9000003RP8zD,00390000019zFpt
? Email: Tokyo number,1 Email,HKD,391456,2/16/2017,00T9000003RP8qV,00390000019zFpt
? Email: Fwd: Tokyo Skip a Trip,1 Email,HKD,391456,2/16/2017,00T9000003RP9NU,00390000019zFpt
? Email: Re: October 4 Skip a Trip,1 Email,HKD,391456,9/13/2016,00T90000036Yxme,00390000019zFpt
"? Email: Re: Re: Philippines Service ""Skip-A-Trip""",1 Email,HKD,391456,10/31/2016,00T9000003EnOn6,00390000019zFpt
? Email: Re: Skip a Trip - email address,1 Email,HKD,391456,11/1/2016,00T9000003EngFA,00390000019zFpt
Email: Re: August 23 in Tokyo,1 Email,HKD,391456,7/21/2016,00T9000002wZK3Z,00390000019zFpt
Email: Re: August 23 in Tokyo,1 Email,HKD,391456,7/22/2016,00T9000002yTBHc,00390000019zFpt
Email: Springboard donation,1 Email,HKD,391456,7/25/2016,00T9000002yTY9u,00390000019zFpt
? Email: Re: August 23 in Tokyo,1 Email,HKD,391456,7/28/2016,00T9000002yUx3P,00390000019zFpt
? Email: Aug 22nd dinner in Tokyo,1 Email,HKD,391456,8/5/2016,00T900000312grN,00390000019zFpt
? Email: Re: Oct 3 planning,1 Email,HKD,391456,8/18/2016,00T90000032IU2y,00390000019zFpt
? Email: Re: Oct 3 planning,1 Email,HKD,391456,8/18/2016,00T90000032IUcv,00390000019zFpt
? Email: Oct 3 planning,1 Email,HKD,391456,8/18/2016,00T90000032IS5k,00390000019zFpt
? Email: ICM Prayer Night - Jan 25th,1 Email,HKD,391456,1/10/2017,00T9000003N8IEN,00390000019zFpt
Email: Tokyo flight itinerary,1 Email,HKD,391456,1/13/2017,00T9000003O3Byb,00390000019zFpt
? Email: Re: Springboard donation,1 Email,HKD,391456,12/7/2016,00T9000003JA2Nm,00390000019zFpt
? Email: Re: Springboard donation,1 Email,HKD,391456,12/7/2016,00T9000003J9sUa,00390000019zFpt
? Email: Re: Springboard donation,1 Email,HKD,391456,12/7/2016,00T9000003J9rNz,00390000019zFpt
? Email: Planning for Dumaguete,1 Email,HKD,391456,2/13/2017,00T9000003RMlK6,00390000019zFpt
Email: Re: Thank you! Possible next steps?,1 Email,HKD,391456,8/30/2016,00T90000034Beao,00390000019zFpt
? Email: Re: Updates,1 Email,HKD,391456,5/10/2017,00T9000003bjgoP,00390000019zFpt
Email: Write-ups,1 Email,HKD,391456,6/3/2016,00T9000002pVgzM,00390000019zFpt
? Email: Re: Thank you! Possible next steps?,1 Email,HKD,391456,9/2/2016,00T90000034DG8y,00390000019zFpt
Discuss Tokyo Skip A Trip,3 Call,HKD,391456,9/15/2016,00T90000036aDvT,00390000019zFpt
? Email: ICM Banquet,1 Email,HKD,391456,9/22/2016,00T900000311Bsu,00390000019zFpt
? Email: Re: Talking to Anthony today,1 Email,HKD,391456,9/27/2016,00T9000003AFVvd,00390000019zFpt
Hosted dinner - Tokyo,4 Meeting,HKD,391456,10/4/2016,00T9000003AG251,00390000019zFpt
Confirm Skip A Trip itinerary,3 Call,HKD,391456,9/28/2016,00T9000003AG25z,00390000019zFpt
? Email: Talking to Anthony today,1 Email,HKD,391456,9/27/2016,00T9000003AFVSh,00390000019zFpt
"? Email: Re: Invitation: Anthony & Carrie - Tokyo Skip A Trip discussion @ Wed Sep 28, 2016 3pm - 4pm (Melizza Albolote)",1 Email,HKD,391456,9/28/2016,00T9000003AG5IP,00390000019zFpt
? Email: Schedule Oct 4,1 Email,HKD,391456,9/29/2016,00T9000003AGeSA,00390000019zFpt
? Email: Re: Activity Pack,1 Email,HKD,391456,3/27/2017,00T9000003WEJFT,00390000019zFpt
Coffee meeting with Tokyo moms,6 Event,HKD,391456,10/1/2016,00T9000002nh3nH,00390000019zFpt
Email: Re: Tokyo flight itinerary,1 Email,HKD,391456,2/23/2017,00T9000003SQM6G,00390000019zFpt
Email: Fwd: 170401 - Tokyo Skip A Trip - Expense Report,1 Email,HKD,391456,3/17/2017,00T9000003VSEqq,00390000019zFpt
? Email: ICM Education Strategy Updates,1 Email,HKD,57046,3/8/2017,00T9000003Tr6nY,0039000000MLAl3
? Email: Starters Kindergarten Profile,1 Email,HKD,57046,9/28/2016,00T9000003AGAXE,0039000000MLAl3
? Email: Reminder: (Wed) Feb 22nd - ICM Education Strategy Focus Group Discussion,1 Email,HKD,57046,2/20/2017,00T9000003SNpBb,0039000000MLAl3
? Email: Skip-a-trip (Apr 1-4) Coffee Meeting: Mar 18 Saturday @3pm,1 Email,HKD,1000,2/20/2017,00T9000003SNt84,003900000220jnX
? Email: 2017 ICM banquet: Oct 17 Tuesday,1 Email,HKD,1000,4/18/2017,00T9000003Z9Qru,003900000220jnX
? Email: Pls read: April 1-4 Skip A Trip meeting,1 Email,HKD,1000,3/13/2017,00T9000003Ue8JA,003900000220jnX
? Email: Re: Pls read: April 1-4 Skip A Trip meeting,1 Email,HKD,1000,3/18/2017,00T9000003VSTcR,003900000220jnX
Email: Fwd: 170402 - CMF SAT - Registration,1 Email,HKD,1000,3/6/2017,00T9000003TopgE,003900000220jnX
Email: Fwd: 170402 - CMF SKIP A TRIP - Expense Report,1 Email,HKD,1000,3/9/2017,00T9000003UcMbi,003900000220jnX
Email: Fwd: 170402 - CMF SAT - ETICKET,1 Email,HKD,1000,3/27/2017,00T9000003WEGZo,003900000220jnX
? Email: Re: Great to see you,1 Email,HKD,85055,5/9/2017,00T9000003bimZJ,0039000001aPHBP
? Email: Great to see you,1 Email,HKD,85055,5/9/2017,00T9000003bilsQ,0039000001aPHBP
? Email: Thanks for lunch. :),1 Email,HKD,192051.85,12/7/2016,00T9000003J9ucu,0039000000YcqDZ
Trip,0 Other,HKD,192051.85,1/31/2017,00T9000003J9ONK,0039000000YcqDZ
Lunch,4 Meeting,HKD,192051.85,12/5/2016,00T9000003J9OM7,0039000000YcqDZ
? Email: Re: Cebu Charity,1 Email,HKD,192051.85,5/9/2017,00T9000003bitsI,0039000000YcqDZ
? Email: Re: Cebu Charity,1 Email,HKD,192051.85,5/9/2017,00T9000003biu3T,0039000000YcqDZ
? Email: Re: Checking In,1 Email,HKD,192051.85,9/14/2016,00T90000036ZZLb,0039000000YcqDZ
? Email: Re: Checking In,1 Email,HKD,192051.85,9/15/2016,00T90000036aAwZ,0039000000YcqDZ
? Email: Received Check,1 Email,HKD,192051.85,9/21/2016,00T900000310KaN,0039000000YcqDZ
? Email: Re: Received Check,1 Email,HKD,192051.85,9/30/2016,00T9000003AH5QT,0039000000YcqDZ
Confirmation of Gift,4 Meeting,HKD,192051.85,8/31/2016,00T90000034CaGO,0039000000YcqDZ
Meeting with Roddy Sage and Wayne Margolin,4 Meeting,HKD,192051.85,7/18/2016,00T9000002wXy9l,0039000000YcqDZ
? Email: Re: Reminder: (Wed) Feb 22nd - ICM Education Strategy Focus Group Discussion,1 Email,HKD,454100,3/2/2017,00T9000003T2mrE,00390000018yIlU
? Email: Re: Reminder: (Wed) Feb 22nd - ICM Education Strategy Focus Group Discussion,1 Email,HKD,454100,3/2/2017,00T9000003T2YoK,00390000018yIlU
? Email: Thanks for yesterday,1 Email,HKD,454100,3/9/2017,00T9000003Uc5ve,00390000018yIlU
? Email: Re: Family Academy,1 Email,HKD,454100,5/8/2017,00T9000003axeoA,00390000018yIlU
? Email: Reminder: (Wed) Feb 22nd - ICM Education Strategy Focus Group Discussion,1 Email,HKD,454100,2/20/2017,00T9000003SNpBb,00390000018yIlU
? Email: ICM Christmas Cocktail - Dec 7,1 Email,HKD,454100,11/30/2016,00T9000003J6lE5,00390000018yIlU
? Email: ICM Prayer Night - Jan 25th,1 Email,HKD,454100,1/10/2017,00T9000003N8IEN,00390000018yIlU
? Email: The Future of ICM's Education Program,1 Email,HKD,454100,1/9/2017,00T9000003N7kSX,00390000018yIlU
Email: Jumpstart Kindergarten,1 Email,HKD,454100,6/1/2016,00T9000002pULuD,00390000018yIlU
? Email: Re: Updates,1 Email,HKD,107000,5/8/2017,00T9000003axqts,0039000001tnQCM
Email: ICM Banquet - Auction booklet,1 Email,HKD,107000,10/21/2016,00T9000003Df6y2,0039000001tnQCM
